Barcode,Description,Department,Supplier,Q1_2023_Sales,Q1_2026_Sales,Variance
6009646800481,LITTLE HEROES VIRGIN TOILET PAPER LITE 48s,Household,LANK SOFT (PTY) LTD ,197540.13,0.0,-197540.13
6009663051156,TOILET PAPER 2ply 350 sheets,Household,ECONO TISSUE,151482.62,0.0,-151482.62
6009661980984,LITTLE HEROES 2ply 48s,Household,LANK SOFT (PTY) LTD ,99611.96,0.0,-99611.96
6009537318439,REFUSE BAG BLACK 750mm x 950mm 18mic,Household,YUNG SHENG PLASTICS,91219.9,0.0,-91219.9
6009648182704,TOILET PAPER 1ply 500 sheets,Household,NOVA PAPERS (PTY) LTD ,80083.63,0.0,-80083.63
6001246774940,ROUGH TOTE 110lt BLACK,Home n Kitchen,USABCO INDUSTRIES PTY LTD,65167.92,0.0,-65167.92
6009696451251,REFUSE BAG ON ROLL BLACK 18mic 750x950mm,Household,YUNG SHENG PLASTICS,63610.77,0.0,-63610.77
6009646808135,PARTY PACKS,Party n Gifts,ALRODE SOUTH DISTRIBUTORS,62547.09,0.0,-62547.09
6009546777531,WEST PACK KITCHEN TOWEL 2ply 2's,Household,NOVA PAPERS (PTY) LTD ,60078.59,0.0,-60078.59
6001070103374,FLAT FOLDED HAND TOWELS 1PLY 319,Household,MAIN STREET 1310 T/A TWINSAVER GROUP,57225.59,0.0,-57225.59
6009613780600,REFUSE BAG HD BLACK 30mic 750x950mm,Household,YUNG SHENG PLASTICS,52259.67,0.0,-52259.67
6002638014439,STORAGE BOX 85lt CLEAR,Home n Kitchen,EVERNU PLASTICS,51307.74,0.0,-51307.74
